word_german,word_english,semantic_category,exemplar_generation_n_20,exemplar_generation_percent,typical_M,typical_SD,aoa_M,aoa_SD,familiar_M,familiar_SD,frequency,frequency_log,phonemes,syllables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leguan,iguana,animal,1,0.05,3.56,1.85,4.75,1.41,2.10,1.12,0.32,-0.50,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
känguru,kangaroo,animal,7,0.35,2.50,1.57,3.60,1.39,2.80,1.01,0.02,-1.61,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marienkäfer,ladybird,animal,1,0.05,2.70,1.49,2.05,0.76,3.85,1.04,0.31,-0.51,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leopard,leopard,animal,6,0.30,2.20,1.44,3.70,1.56,2.75,1.25,1.70,0.23,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
löwe,lion,animal,14,0.70,1.20,0.70,2.15,0.67,3.50,1.36,15.72,1.20,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eidechse,lizard,animal,6,0.30,3.20,1.64,3.15,0.93,2.90,1.33,2.58,0.41,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lama,llama,animal,4,0.20,2.80,1.61,3.85,1.73,2.40,1.10,1.10,0.04,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luchs,lynx,animal,9,0.45,3.05,1.85,4.10,1.52,2.50,1.05,0.96,-0.02,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
murmeltier,marmot,animal,3,0.15,3.30,1.63,4.40,1.67,2.15,0.93,0.66,-0.18,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marder,marten,animal,7,0.35,2.90,1.83,3.75,1.33,2.37,0.96,0.63,-0.20,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milbe,mite,animal,1,0.05,6.00,1.56,5.95,1.10,2.30,1.08,0.74,-0.13,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maulwurf,mole,animal,3,0.15,3.00,1.89,2.50,0.69,3.45,1.05,2.32,0.37,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affe,monkey,animal,9,0.45,1.20,0.70,1.80,0.52,3.70,1.17,10.37,1.02,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maus,mouse,animal,16,0.80,1.95,1.61,1.55,0.51,3.45,1.32,10.57,1.02,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miesmuschel,mussel,animal,1,0.05,4.89,1.91,5.26,1.45,2.90,1.07,0.31,-0.51,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papagei,parrot,animal,1,0.05,2.25,1.37,2.45,0.69,2.75,1.16,3.45,0.54,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinguin,penguin,animal,4,0.20,2.40,1.47,3.10,1.07,2.80,1.15,0.68,-0.17,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schwein,pig,animal,13,0.65,1.20,0.70,1.80,0.52,3.65,1.42,18.36,1.26,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hecht,pike,animal,2,0.10,3.21,1.81,3.45,0.83,3.05,1.23,3.25,0.51,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eisbär,polar bear,animal,3,0.15,1.90,1.21,2.75,1.16,3.20,1.24,0.58,-0.24,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iltis,polecat,animal,2,0.10,3.30,1.81,4.32,1.29,2.35,1.18,0.70,-0.15,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pony,pony,animal,1,0.05,2.10,1.25,1.95,0.69,3.26,1.28,1.49,0.17,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratte,rat,animal,13,0.65,2.55,1.90,2.80,0.62,3.00,1.30,8.42,0.93,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rentier,reindeer,animal,1,0.05,2.70,1.69,3.90,1.41,2.40,1.10,1.89,0.28,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nashorn,rhinoceros,animal,8,0.40,2.20,1.44,3.55,1.54,2.90,1.21,1.70,0.23,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hornkäfer,rhinocerous horn beetle,animal,1,0.05,5.00,1.63,5.53,1.22,1.67,0.84,0.01,-2.09,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flusspferd,river horse,animal,1,0.05,2.90,1.59,3.90,1.25,2.40,1.19,None,None,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reh,roe deer,animal,11,0.55,1.65,1.04,2.30,0.80,3.55,1.15,3.01,0.48,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lachs,salmon,animal,1,0.05,3.05,1.93,3.95,1.39,4.25,0.55,2.25,0.35,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
echse,saurian,animal,2,0.10,3.30,1.87,4.50,1.54,2.85,1.31,0.74,-0.13,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schildlaus,scale insect,animal,1,0.05,5.61,1.42,5.84,1.12,2.00,1.20,0.38,-0.42,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muschel,sea shell,animal,1,0.05,4.65,1.98,2.50,0.76,3.90,1.17,7.15,0.85,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seepferdchen,seahorse,animal,1,0.05,3.75,1.68,3.25,1.07,2.40,1.19,0.29,-0.54,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seehund,seal,animal,5,0.15,2.90,1.89,3.60,0.99,2.30,1.26,0.89,-0.05,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaf,sheep,animal,11,0.55,1.25,0.55,2.00,0.56,3.50,1.15,10.38,1.02,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schnecke,snail,animal,5,0.25,2.80,1.96,2.05,0.60,3.55,1.19,9.29,0.97,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schlange,snake,animal,12,0.60,2.30,1.66,2.00,0.65,2.95,1.19,13.96,1.14,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinne,spider,animal,6,0.30,2.50,1.85,2.15,0.67,3.60,1.05,6.31,0.80,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eichhörnchen,squirrel,animal,7,0.35,1.80,1.06,2.60,0.68,3.55,1.23,2.48,0.39,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hirsch,stag / deer,animal,9,0.45,1.60,0.99,2.85,0.81,2.95,1.47,11.00,1.04,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seestern,starfish,animal,2,0.10,5.25,1.83,4.10,1.12,2.50,1.15,1.11,0.05,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stabheuschrecke,stick insect,animal,1,0.05,5.38,1.67,5.56,1.36,2.12,1.17,0.12,-0.91,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarantel,tarantula,animal,1,0.05,4.58,1.84,5.50,1.19,1.75,0.72,0.25,-0.60,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zecke,tick,animal,1,0.05,5.42,1.92,4.80,1.40,3.85,1.04,0.54,-0.27,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiger,tiger,animal,11,0.55,1.65,1.09,2.65,1.39,3.05,1.36,7.85,0.89,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schildkröte,tortoise,animal,6,0.30,2.90,1.77,2.60,0.99,3.25,1.07,2.84,0.45,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pute,turkey,animal,1,0.05,2.60,1.47,3.80,1.28,3.55,0.83,0.56,-0.25,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warzenschwein,warthog,animal,1,0.05,3.20,1.74,3.90,1.48,1.95,0.94,0.13,-0.88,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wespe,wasp,animal,5,0.25,3.21,1.90,2.35,0.67,4.30,0.80,1.98,0.30,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wasserbüffel,water buffalo,animal,1,0.05,3.50,1.93,5.00,1.26,2.10,1.25,0.06,-1.24,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wal,whale,animal,8,0.40,2.65,1.57,2.75,1.02,2.65,1.14,2.19,0.34,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wildschwein,wild boar,animal,4,0.20,1.80,1.15,2.90,0.79,3.00,1.30,1.29,0.11,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wildkatze,wild cat,animal,1,0.05,2.90,1.97,4.10,1.45,2.60,1.19,0.50,-0.30,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf,wolf,animal,12,0.60,1.60,1.31,2.05,0.83,3.15,1.23,19.33,1.29,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wurm,worm,animal,2,0.10,3.53,1.71,2.30,1.26,2.90,1.02,9.48,0.98,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zebra,zebra,animal,10,0.50,2.10,1.37,2.50,0.61,3.05,1.00,0.60,-0.22,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albatros,albatross,bird,2,0.10,3.59,1.77,5.35,1.35,2.15,1.23,0.37,-0.43,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schwarzstorch,black stork,bird,1,0.05,3.56,1.92,5.50,1.41,2.21,1.13,0.07,-1.13,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amsel,blackbird,bird,18,0.90,1.20,0.41,2.45,0.83,3.80,1.32,1.52,0.18,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blaumeise,bluetit,bird,2,0.10,1.32,0.82,4.20,1.06,3.00,1.45,0.07,-1.13,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wellensittich,budgerigar,bird,6,0.30,1.85,1.18,3.10,1.12,3.00,1.08,0.81,-0.09,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bussard,buzzard,bird,14,0.70,2.00,1.34,3.95,1.32,2.45,1.19,0.57,-0.24,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
