category,word_english,typical_M_older,typical_SD_older,familiar_M_older,familiar_SD_older,unknown_percent_older,frequency_M_older,frequency_SD_older,visual_complex_M_older,visual_complex_SD_older,imagine_M_older,imagine_SD_older,aoa_M_older,aoa_SD_older,,typical_M_younger,typical_SD_younger,familiar_M_younger,familiar_SD_younger,unknown_percent_younger,frequency_M_younger,frequency_SD_younger,visual_complex_M_younger,visual_complex_SD_younger,imagine_M_younger,imagine_SD_younger,aoa_M_younger,aoa_SD_younger,,,
Animals,jackal,4.898 ,(1.794),3.816 ,(1.481),5.769 ,2.510 ,(1.175),3.917 ,(1.569),4.813 ,(1.633),6.082 ,(1.320),,4.167 ,(1.779),3.667 ,(1.478),9.434 ,2.250 ,(1.042),3.756 ,(1.111),4.378 ,(1.466),5.021 ,(1.211),,,
Animals,jaguar,5.377 ,(1.496),4.075 ,(1.674),1.852 ,2.717 ,(1.306),4.075 ,(1.591),5.604 ,(1.485),6.057 ,(1.117),,4.755 ,(1.697),4.208 ,(1.536),0.000 ,2.849 ,(1.562),4.451 ,(1.222),4.980 ,(1.407),4.549 ,(1.286),,,
Animals,jellyfish,3.717 ,(2.060),4.962 ,(1.675),0.000 ,2.774 ,(1.281),4.000 ,(1.847),5.792 ,(1.668),4.075 ,(1.466),,3.528 ,(1.683),4.925 ,(1.398),0.000 ,3.415 ,(1.447),3.321 ,(1.438),5.491 ,(1.423),3.264 ,(0.944),,,
Animals,kangaroo,5.463 ,(1.610),4.704 ,(1.849),0.000 ,3.019 ,(1.642),4.463 ,(1.488),6.222 ,(1.298),4.906 ,(1.431),,5.321 ,(1.684),5.340 ,(1.427),0.000 ,3.340 ,(1.556),4.321 ,(1.370),6.245 ,(0.979),3.189 ,(1.093),,,
Animals,koala,5.208 ,(1.680),4.472 ,(1.867),0.000 ,2.849 ,(1.336),4.151 ,(1.486),5.811 ,(1.345),6.423 ,(1.144),,4.887 ,(1.527),4.792 ,(1.524),0.000 ,3.096 ,(1.347),4.075 ,(1.238),5.774 ,(1.339),3.635 ,(1.121),,,
Animals,lemming,4.292 ,(1.890),2.979 ,(1.581),11.321 ,2.170 ,(1.185),3.707 ,(1.537),4.341 ,(1.477),6.652 ,(0.849),,3.660 ,(1.868),3.723 ,(1.651),11.321 ,2.574 ,(1.514),3.500 ,(1.084),4.079 ,(1.776),5.255 ,(1.242),,,
Animals,lemur,4.676 ,(2.028),2.946 ,(1.763),28.846 ,1.811 ,(0.877),3.972 ,(1.383),4.472 ,(1.812),6.816 ,(0.457),,3.938 ,(1.813),3.156 ,(1.394),39.623 ,2.281 ,(1.250),3.926 ,(1.072),3.593 ,(1.500),5.818 ,(1.286),,,
Animals,leopard,5.736 ,(1.546),4.623 ,(1.667),0.000 ,2.981 ,(1.474),4.623 ,(1.484),6.170 ,(1.236),4.755 ,(1.413),,5.462 ,(1.527),4.885 ,(1.580),0.000 ,3.250 ,(1.558),4.654 ,(1.454),5.846 ,(1.289),3.615 ,(1.013),,,
Animals,lion,6.611 ,(0.685),5.259 ,(1.532),0.000 ,3.755 ,(1.568),4.389 ,(1.595),6.444 ,(1.058),3.434 ,(1.217),,6.481 ,(0.804),5.865 ,(1.284),0.000 ,4.288 ,(1.730),4.404 ,(1.459),6.327 ,(0.923),2.365 ,(0.950),,,
Animals,lizard,4.604 ,(1.758),4.264 ,(1.571),1.852 ,2.717 ,(1.166),4.396 ,(1.405),5.792 ,(1.276),5.769 ,(1.337),,4.396 ,(1.656),4.623 ,(1.457),0.000 ,3.377 ,(1.484),4.327 ,(1.324),5.642 ,(1.145),3.528 ,(1.170),,,
Animals,llama,4.830 ,(1.729),4.000 ,(1.581),1.852 ,2.358 ,(1.002),4.151 ,(1.499),5.491 ,(1.409),6.208 ,(1.199),,4.078 ,(1.874),4.235 ,(1.478),3.774 ,2.588 ,(1.252),4.060 ,(1.268),4.760 ,(1.506),4.863 ,(1.149),,,
Animals,lobster,4.020 ,(2.015),4.431 ,(1.628),3.774 ,2.922 ,(1.412),4.745 ,(1.426),5.745 ,(1.324),5.720 ,(1.471),,3.491 ,(1.783),4.566 ,(1.513),0.000 ,3.151 ,(1.336),4.925 ,(1.222),5.566 ,(1.337),4.113 ,(1.086),,,
Animals,lynx,4.765 ,(1.704),3.320 ,(1.377),5.660 ,2.360 ,(1.005),4.408 ,(1.398),4.958 ,(1.725),6.320 ,(1.039),,4.298 ,(1.743),3.553 ,(1.427),9.615 ,2.468 ,(1.283),4.326 ,(1.190),4.372 ,(1.543),5.087 ,(1.208),,,
Animals,meerkat,3.714 ,(2.122),2.529 ,(1.637),33.333 ,1.941 ,(0.851),3.700 ,(1.745),4.700 ,(2.120),6.968 ,(0.180),,3.667 ,(1.897),3.806 ,(1.818),32.075 ,2.222 ,(0.898),4.333 ,(1.295),4.655 ,(1.587),5.771 ,(1.262),,,
Animals,mink,4.500 ,(1.755),3.500 ,(1.627),0.000 ,2.365 ,(1.284),3.780 ,(1.542),4.918 ,(1.847),6.608 ,(0.750),,4.220 ,(1.799),3.531 ,(1.672),5.769 ,2.560 ,(1.312),3.979 ,(1.329),4.063 ,(1.590),4.760 ,(1.222),,,
Animals,mole,5.000 ,(1.544),4.019 ,(1.565),1.887 ,2.654 ,(1.312),3.615 ,(1.510),5.404 ,(1.432),4.904 ,(1.432),,4.792 ,(1.610),4.642 ,(1.606),0.000 ,3.132 ,(1.520),3.509 ,(1.234),5.415 ,(1.307),3.321 ,(1.205),,,
