word_english,arousal_LSA_M,arousal_norms_M,concrete_LSA_M,concrete_norms_M,dominate_LSA_M,dominate_norms_M,imagine_LSA_M,imagine_norms_M,valence_LSA_M,valence_norms_M
loathe,5.61,,3.22,,5.09,,4.57,,5.08,
loathing,5.96,,3.12,,4.81,,4.3,,4,
loathsome,5.97,,3.38,,4.97,,4.47,,4.4,
lob,5.17,,5.73,,5.19,,5.53,,5.11,
lobby,4.71,,4.16,5.57,5.02,,4.32,4.68,5.35,
lobbying,5.3,,3.79,,4.97,,3.9,,4.78,
lobbyist,5.29,,3.98,,5.13,,4.03,,4.94,
lobe,4.97,,4.67,,4.57,,4.69,,4.53,
lobster,5.15,,6.05,,4.87,,5.59,,5.24,
local,5,,3.98,,5.5,,4.06,,6.04,
locale,5.14,,3.45,,5.67,,3.82,,6.44,
locality,4.57,,3.73,,5.24,,3.71,,5.49,
localize,4.8,,4.29,,5.07,,4.09,,5.38,
localized,4.73,,3.5,,4.61,,3.73,,4.55,
locally,4.99,,3.69,,5.79,,3.74,,6.35,
locate,4.61,,4.26,,5.28,,4.42,,5.69,
location,4.39,,4.03,,5.47,,4.21,,5.96,
lock,4.69,,5.52,5.94,4.6,,5.28,5.38,4.69,
locker,4.97,3.38,5.2,,5.2,5.36,5.18,,5.62,5.19
locomotion,4.81,,5.6,,5.11,,5.22,,5.13,
locomotive,4.44,,5.43,,5.15,,5.09,,5.43,
locus,5.2,,3.96,,4.47,,4.06,,4.56,
locust,5.13,,5.67,,4.6,,5.26,,4.22,
lodestone,4.59,,5.4,,4.96,,5.18,,5.21,
lodge,4.92,,5.54,5.63,4.87,,5.61,4.7,5.19,
lodger,4.92,,5.12,,5.1,,5.43,,5.19,
lodging,4.93,,4.2,,5.03,,4.48,,5.16,
loess,4.75,,5.36,,4.58,,5.3,,4.74,
loft,4.04,,5.66,,5.06,,5.85,,5.73,
loftily,4.52,,4.6,,5.13,,4.81,,5.72,
lofty,4.99,,4.59,,5.39,,5.01,,6.27,
log,4.5,,6.05,,4.84,,5.5,,5.12,
logarithm,4.64,,3.93,,5.07,,4.35,,5.54,
logger,4.82,,5.97,,5.12,,5.42,,5.14,
logic,5.07,,3.07,2.37,5.56,,3.55,3,5.93,
logical,4.87,,3.01,,5.45,,3.42,,5.93,
logically,4.99,,3,,5.45,,3.44,,5.82,
logo,5.1,,3.89,,5.57,,4.31,,6.44,
loiter,4.86,,4.22,,4.81,,4.91,,4.8,
loll,5.09,,5.39,,4.83,,5.43,,5.02,
lollipop,5.5,,4.36,,5.17,,4.96,,5.85,
lone,5.32,,4.59,,4.81,,5.1,,4.72,
loneliness,5.67,4.56,2.97,2.6,4.76,2.51,4.58,4.62,4.67,1.61
lonely,5.07,4.51,3.8,,4.85,2.95,5.1,,5.14,2.17
lonesome,5.22,,4.59,,4.75,,5.08,,4.89,
long,5.01,,3.85,,5.15,,4.31,,5.57,
long-ago,4.99,,4.94,,5.17,,5.51,,5.83,
long-distance,5.1,,4.95,,5.7,,4.84,,6.37,
long-haired,4.78,,5.71,,5.17,,5.56,,5.8,
long-last,5.32,,3.38,,4.34,,3.82,,3.51,
long-legged,4.63,,5.87,,5.33,,5.43,,5.93,
long-range,5.55,,3.31,,5.57,,3.9,,5.91,
long-run,4.99,,3.65,,5.57,,3.88,,6.3,
long-standing,5.73,,3.74,,5.38,,4.24,,4.99,
long-term,5.4,,3.23,,4.66,,3.62,,4.44,
long-time,5.52,,3.46,,5.84,,3.93,,6.12,
longboat,5.37,,5.64,,5,,5.39,,5.41,
longbow,5.46,,5.18,,5.42,,5.1,,5.25,
longhand,4.49,,4.55,,5.18,,4.53,,5.42,
longhorn,4.64,,5.62,,4.95,,5.35,,5,
longhouse,4.7,,5.89,,5.22,,5.63,,5.6,
longing,5.3,,3.59,,5.15,,4.75,,5.76,
longingly,5.06,,5.27,,5.48,,5.58,,6.34,
longitude,4.51,,4.3,,5.26,,4.8,,5.98,
