word_english,letters_N,frequency_M_log,familiar_M_American,familiar_M_British,imagine_M_British,aoa_M_log,imagine_M_American,transparency_M,Lexeme_Meaning_Dominance_M,Length_first_lexeme_M,Frequency_first_lexeme_M,familiar_M_first_lexeme,aoa_M_log_first_lexeme,imagine_M_first_lexeme,bilabial,labiodental,dental,labiovelar,postalvelolar,alveolar,palatal,palatal.alveolar,glottal,velar,voiced,length_second_lexeme_M,frequency_second_lexeme_M,familiar_M_second_lexeme,aoa_M_log_second_lexeme,imagine_M_second_lexeme
gingerbread,11,3.23,6.71,6.67,6.73,0.505149978,5.76,5.2,5.87,6,4.3,4.55,0.669316881,6.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,4.69,6.36,0.397940009,6.2
goalpost,8,2.19,6.29,5.87,6.23,0.522878745,6.52,5.71,5.33,4,4.97,5.54,0.544068044,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,4.87,6.06,0.591064607,5.4
goatherd,8,2.32,4.29,4.13,4.77,0.704722333,4.43,5.17,5.47,4,4.12,4.43,0.414973348,6.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,4.03,4.36,0.612783857,5.6
grapefruit,10,3.16,6.93,6.37,6.27,0.514104821,6.48,3.33,7.73,5,3.54,5.32,0.431363764,6.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,4.73,5.9,0.431363764,6.3
greasepaint,11,1.84,3.93,3.33,3.03,0.801632346,3.48,4.18,5.07,6,3.68,5.1,0.579783597,5.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,4.7,5.51,0.491361694,6.3
guardrail,9,1.39,6.07,4.2,3.7,0.636822098,5,5,6.07,5,4.33,4.97,0.612783857,5.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,4.4,5.3,0.556302501,5.6
hailstorm,9,2.02,6,6.3,6.23,0.636822098,5.43,6.53,5.6,4,3.67,4.4,0.69019608,4.3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,5,4.46,5.25,0.505149978,6.2
hallway,7,3.93,7,6.8,6.7,0.392110465,6.52,4.87,2.73,4,4.83,5.92,0.531478917,5.9,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,3,6.12,5.67,0.491361694,2.3
hamstring,9,3.1,6.93,5.97,5,0.737722593,5.29,2.27,5.86,3,4.35,5.36,0.462397998,6.7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,6,4.25,4.99,0.505149978,6.2
handbag,7,3.73,6.57,6.83,6.97,0.556302501,6.38,5.47,6.8,4,5.44,6.01,0.342422681,6.4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,3,4.89,6.34,0.447158031,6.4
