word_french,valence_M,arousal_M,valence_number,arousal_number,valence_M_Painchaud_2005,valience_M_Syssau_Font_2005,valence_M_Bonin_etal_2003,,valence_M_Messina_etal_1989,valence_M_Vikis_Freiberg_1976,valence_M_Bradley_Lang_1999,valuence_M_Vo_al_2009,valence_M_Leleu_1987,valence_M_Zammuner_1998,valence_M_Eilola_Havelka_2007,valence_M_Redondo_etal_2007,valence_M_Niedenthal_etal_2004,arousal_M_Bradley_Lang_1999,arousal_M_Vo_al_2009,arousal_M_Leleu_1987,arousal_M_Eilola_Havelka_2007,arousal_M_Redondo_etal_2007
oasis,0.73,0.50,1,2,,,,,,,,0.73,,,,,,0.40,,,,0.59
obéir,-0.09,0.42,3,1,0.01,,,,,,0.12,,,,,0.15,,,,0.42,,
obéissant,0.09,,2,-,0.12,,,,,,,,0.07,,,,,,,,,
obèse,-0.74,0.39,1,3,0.74,,,,,,,,,,,,,0.36,,0.22,,0.58
obésité,-0.64,0.43,4,1,0.86,,,,,,0.57,,0.63,,,0.49,,,,0.43,,
objectivité,0.40,,1,-,,,,,,,,,0.40,,,,,,,,,
obligation,-0.07,0.43,1,1,0.07,,,,,,,,,,,,,,,0.43,,
obligé,-0.53,0.43,1,1,,,,,,,,,0.53,,,,,,,0.43,,
obligeance,0.07,0.42,1,1,,,,,,,,,0.07,,,,,,,0.42,,
obligeant,0.03,0.58,1,1,,,,,,,,,0.03,,,,,,,0.58,,
obliger,-0.37,0.64,2,1,0.38,,,,,,,,0.37,,,,,,,,,0.64
obscène,-0.38,,2,-,0.32,,,,,,,,,,,0.44,,,,,,
obscénité,-0.55,0.42,1,2,0.55,,,,,,,,,,,,,,,0.28,,0.56
obscur,-0.24,0.32,4,1,,0.35,,,,0.08,,,0.37,,,0.18,,,,0.32,,
obscurité,-0.08,0.58,2,2,0.08,,,,,,,,0.23,,,,,0.49,,,,
obsèques,-0.63,,2,-,,,,,,,0.90,,,,,,,,,,,
observation,0.24,0.72,1,1,,0.24,,,,,,,,,,,,,,0.72,,
observer,0.47,0.68,1,1,,,,,,,,,0.47,,,,,,,,,0.68
obsession,-0.14,0.63,2,1,0.10,,,,,,,,,,,0.38,,,,0.63,,
obstacle,-0.3,0.60,2,1,0.30,,,,,,,,0.30,,,,,,,0.60,,
obstination,0.06,0.58,2,1,,0.16,,,,,,,0.03,,,,,,,0.58,,
obstiné,-0.07,0.77,1,1,,,,,,,,,0.07,,,,,,0.77,,,
obus,-0.83,0.43,1,1,,,,,,,,0.83,,,,,,,,0.43,,
occasion,0.40,,1,-,,,,,,,,,0.40,,,,,,,,,
occident,0.18,0.72,1,1,,0.18,,,,,,,,,,,,,,0.72,,
