word_french,valence_M,arousal_M,valence_number,arousal_number,valence_M_Painchaud_2005,valience_M_Syssau_Font_2005,valence_M_Bonin_etal_2003,,valence_M_Messina_etal_1989,valence_M_Vikis_Freiberg_1976,valence_M_Bradley_Lang_1999,valuence_M_Vo_al_2009,valence_M_Leleu_1987,valence_M_Zammuner_1998,valence_M_Eilola_Havelka_2007,valence_M_Redondo_etal_2007,valence_M_Niedenthal_etal_2004,arousal_M_Bradley_Lang_1999,arousal_M_Vo_al_2009,arousal_M_Leleu_1987,arousal_M_Eilola_Havelka_2007,arousal_M_Redondo_etal_2007
serpent,-0.39,,8,-,0.43,0.35,-,0.39,0.50,,0.42,,0.50,,,0.32,,,,,,
serrure,0.06,,2,-,,0.01,,,0.12,,,,,,,,,,,,,
serrurier,-0.19,,1,-,0.19,,,,,,,,,,,,,,,,,
sérum,0.19,,1,-,0.19,,,,,,,,,,,,,,,,,
servage,-0.4,,1,-,0.40,,,,,,,,,,,,,,,,,
serveur,-0.05,0.65,1,1,0.05,,,,,,,,,,,,,,,0.65,,
serviable,0.50,0.72,1,1,,,,,,,,,0.50,,,,,,,0.72,,
service,0.20,,1,-,,,,,,,,,0.20,,,,,,,,,
serviette,0.05,,1,-,,0.05,,,,,,,,,,,,,,,,
serviettes,0.31,0.42,1,1,,,0.31,,,,,,,,,,,,,0.42,,
servile,-0.53,0.51,1,2,,,,,,,,,0.53,,,,,,0.30,0.72,,
servir,-0.05,0.32,2,1,,,,,,,,0.17,0.07,,,,,,0.32,,,
serviteur,-0.02,,2,-,,,,,0.12,,,0.17,,,,,,,,,,
servitude,-0.3,0.42,1,1,0.30,,,,,,,,,,,,,,,0.42,,
s'esquiver,-0.3,,1,-,,,,,,,,,0.30,,,,,,,,,
session,-0.04,,1,-,0.04,,,,,,,,,,,,,,,,,
seuil,-0.28,0.35,1,2,0.28,,,,,,,,,,,,,,0.36,0.33,,
seul,-0.52,0.35,3,1,,0.46,,,,,,0.60,0.50,,,,,,,0.35,,
sévère,-0.54,,2,-,0.61,,,,,,,,0.47,,,,,,,,,
sévèrement,-0.7,0.60,1,1,0.70,,,,,,,,,,,,,,,0.60,,
sex appeal,0.20,0.78,1,3,,,,,,,,,0.20,,,,,0.80,,0.72,,0.84
sexe,0.60,,5,-,0.71,,,,0.43,,0.76,,0.37,,,0.72,,,,,,
sexiste,-0.86,0.67,1,1,0.86,,,,,,,,,,,,,,,0.67,,
sexualité,0.47,0.68,3,1,0.58,,,,0.37,,,,0.47,,,,,,,0.68,,
sexuel,0.40,0.74,2,3,0.40,,,,,,,,0.40,,,,,0.80,,0.63,,0.79
sexy,0.56,,3,-,,,,,,,0.76,,0.30,,,0.63,,,,,,
sida,-1,0.25,1,1,1.00,,,,,,,,,,,,,,,0.25,,
sidéré,-0.4,0.17,1,1,,,,,,,,,0.40,,,,,,,0.17,,
siècle,-0.1,0.13,2,1,,0.10,,,,,,,0.30,,,,,,0.13,,,
sieste,0.58,0.36,2,1,,0.52,,,,,,0.63,,,,,,,0.36,,,
siffle,0.13,0.47,1,1,,,,,,,,0.13,,,,,,,,0.47,,
siffler,-0.1,,1,-,,,,,,,,,0.10,,,,,,,,,
sifflet,-0.16,,3,-,,0.01,-,0.02,,0.46,,,,,,,,,,,,
signal,0.19,0.43,1,1,0.19,,,,,,,,,,,,,,,0.43,,
signe,0.20,0.52,2,1,,,0.38,,,,,,0.03,,,,,,,0.52,,
signer,-0.1,0.37,1,2,,,,,,,,,0.10,,,,,,0.46,0.27,,
signification,0.12,0.41,2,1,,,,,,,,0.31,0.07,,,,,,0.41,,,
signifier,0.34,0.46,1,1,,,,,,,,0.34,,,,,,,0.46,,,
s'il vous plaît,0.22,0.32,1,1,,,,,,,,0.22,,,,,,,,0.32,,
silence,0.24,,3,-,0.40,0.27,,,,,,,0.07,,,,,,,,,
silencieusement,0.08,0.30,1,1,0.08,,,,,,,,,,,,,,,0.30,,
simplicité,0.64,0.47,2,1,0.84,,,,,,,,0.43,,,,,,,0.47,,
sincère,0.70,0.43,1,1,,,,,,,,,0.70,,,,,,,0.43,,
sincérité,0.70,0.53,1,2,,,,,,,,,0.70,,,,,,0.50,,,0.57
singe,0.26,,4,-,,0.17,0.38,,,,,0.33,,,,0.18,,,,,,
sinistre,-0.85,0.68,1,1,0.85,,,,,,,,,,,,,,,0.68,,
sirène,-0.1,0.33,2,1,,,0.42,,,,,,0.63,,,,,,0.33,,,
sirop,0.33,,2,-,0.37,,,,,,,0.28,,,,,,,,,,
siroter,0.44,0.43,1,2,0.44,,,,,,,,,,,,,,0.45,0.40,,
situation,-0.1,0.75,2,1,,,,,,,,0.01,0.20,,,,,,,0.75,,
ski,0.41,,5,-,0.41,0.31,0.63,,0.32,,,,0.37,,,,,,,,,
slip,0.29,0.55,1,2,,,,,0.29,,,,,,,,,0.58,0.53,,,
snob,-0.44,0.37,2,1,,,,,,,0.41,0.47,,,,,,,,0.37,,
snobisme,-0.57,0.63,1,1,,,,,,,,,0.57,,,,,,,,,0.63
sobrecogido,-0.33,,1,-,,,,,,,,,,,,0.33,,,,,,
soccer,0.08,0.66,1,2,0.08,,,,,,,,,,,,,,,0.65,,0.67
sociable,0.64,0.48,2,1,,,,,,,,,0.60,,,0.68,,,,0.48,,
social,0.37,0.42,1,1,,,,,,,,,0.37,,,,,,,0.42,,
socialisme,-0.11,0.54,2,1,0.01,,,,,,,,0.23,,,,,,0.54,,,
socialiste,-0.12,0.73,1,1,,,,,,,,0.12,,,,,,,,0.73,,
société,0.26,0.38,2,2,0.41,,,,,,,,0.10,,,,,,0.21,0.55,,
sœur,0.53,0.30,5,3,0.72,0.52,,,0.63,,,0.44,0.37,,,,,0.34,0.12,,,0.44
soie,0.51,,3,-,,,,,,,0.48,0.55,,,0.34,0.50,,,,,0.60,
soif,-0.26,0.61,4,1,0.06,0.11,,,0.24,0.62,,,,,,,,,0.61,,,
soifs,-0.37,0.25,1,1,,,,,,,,0.37,,,,,,,0.25,,,
soigne,0.15,0.35,1,1,,,,,,,,0.15,,,,,,,,0.35,,
soigné,0.40,0.59,1,2,,,,,,,,,0.40,,,,,,0.42,0.77,,
soigner,0.31,,2,-,,,,,,,,0.31,0.30,,,,,,,,,
soin,0.65,0.35,1,2,0.65,,,,,,,,,,,,,,0.21,0.50,,
soir,0.61,0.75,5,1,0.68,,,,0.56,0.73,,0.55,0.50,,,,,,,0.75,,
soirée,0.63,0.14,3,1,0.51,,,,0.74,,,,0.63,,,,,,0.14,,,
sol,0.19,0.72,3,1,,,,,0.21,0.35,,0.02,,,,,,,0.72,,,
soldat,-0.32,,5,-,0.50,,-,0.25,0.09,0.29,,0.50,,,,,,,,,,
sole,0.14,0.63,1,3,,,0.14,,,,,,,,,,,0.51,,0.77,,0.63
soleil,0.84,0.36,8,3,0.89,0.74,0.90,,0.90,1.05,0.64,,0.87,,,0.76,,0.32,,0.27,,0.48
solennel,-0.11,0.25,3,1,,,,,,,0.17,,0.17,,,0.02,,,,0.25,,
solide,0.17,0.47,1,1,,,,,,,,,0.17,,,,,,0.47,,,
solidement,0.62,,1,-,,,,,,,,0.62,,,,,,,,,,
soliflore,-0.39,0.42,1,2,0.39,,,,,,,,,,,,,,,0.35,,0.49
solitaire,-0.26,0.53,3,1,,,,,0.08,,,,0.30,,,0.40,,,0.53,,,
solitairement,-0.73,0.47,1,4,,,,,,,,0.73,,,,,,0.45,,0.30,,0.52
solitude,-0.4,0.57,6,1,0.23,,,,0.16,,0.85,,0.37,,,0.44,,,,0.57,,
sollicitude,0.07,0.46,1,2,,,,,,,,,0.07,,,,,,0.35,0.57,,
solution,0.45,0.34,2,2,,,,,,,,0.51,0.40,,,,,0.41,,0.27,,
sombre,-0.28,,5,-,,0.38,,,,0.15,0.07,,0.37,,,,0.44,,,,,
sombrero,0.38,,1,-,,,0.38,,,,,,,,,,,,,,,
sommaire,-0.27,0.16,1,3,0.27,,,,,,,,,,,,,0.23,0.03,0.22,,
sommeil,0.63,,7,-,0.74,0.60,,,0.78,0.77,0.55,0.63,0.33,,,,,,,,,
sommeiller,0.28,0.45,1,1,0.28,,,,,,,,,,,,,,,0.45,,
sommet,0.50,,3,-,0.67,,,,0.53,,,,0.30,,,,,,,,,
somptueux,0.85,0.53,1,1,0.85,,,,,,,,,,,,,,,0.53,,
son,0.36,0.55,3,1,,0.32,,,,0.63,,,0.13,,,,,,,,,0.55
sonajero,0.35,0.57,1,1,,,,,,,,,,,,0.35,,,,0.57,,
sonate,0.35,,2,-,,,,,0.67,,,,0.03,,,,,,,,,
songe,0.55,0.43,2,1,,0.45,,,,0.65,,,,,,,,,0.43,,,
sonnette,0.04,0.78,2,1,0.03,,,,,,,0.05,,,,,,,,0.78,,
sono,0.43,,1,-,,,,,,,,,0.43,,,,,,,,,
sorcière,-0.01,0.85,1,1,,,-,0.01,,,,,,,,,,,,0.85,,
sort,0.25,0.43,2,1,,0.08,,,,,,,0.57,,,,,0.43,,,,
sorte,0.65,,1,-,,,,,,,0.65,,,,,,,,,,,
sortie,0.73,0.48,1,2,0.73,,,,,,,,,,,,,,,0.45,,0.51
sot,-0.4,0.51,2,1,,,,,,,,,0.53,,,0.27,,,0.51,,,
sottement,-0.07,0.60,1,1,,,,,,,,0.07,,,,,,,,,,0.60
sottise,-0.07,0.50,1,1,,,,,,,,,,,,0.07,,,,0.50,,
souci,-0.63,0.42,3,1,0.62,,,,,,,,0.73,0.53,,,,,,0.42,,
soucieux,-0.51,0.57,2,1,,,,,,,,,0.70,,,,0.32,,,0.57,,
soudain,-0.4,0.58,1,1,,,,,,,,,0.40,,,,,,,0.58,,
souffert,-0.87,,1,-,,,,,,,,,0.87,,,,,,,,,
souffle,0.49,,1,-,0.49,,,,,,,,,,,,,,,,,
soufflé,0.02,,1,-,,,,,,,,,,,,,0.02,,,,,
soufflet,-0.16,0.58,1,1,,,,,0.16,,,,,,,,,,,0.58,,
souffrance,-0.79,0.37,5,1,0.78,0.77,,,,,,,0.83,0.73,,,0.81,,,0.37,,
souffre douleur,-0.9,0.65,1,2,,,,,,,,,0.90,,,,,,0.71,0.58,,
souffrir,-0.76,,2,-,,,,,,,,0.65,0.87,,,,,,,,,
soufre,-0.14,,1,-,,,,,0.14,,,,,,,,,,,,,
souhait,0.63,0.56,1,2,0.63,,,,,,,,,,,,,,0.57,0.55,,
souhaiter,0.40,0.38,2,1,,,,,,,,0.51,0.30,,,,,,,0.38,,
soulagement,0.69,,4,-,0.80,,,,,,,,0.57,0.69,,,0.72,,,,,
soulier,0.33,,2,-,,,,,0.49,0.17,,,,,,,,,,,,
souliers,0.27,0.37,1,1,0.27,,,,,,,,,,,,,,,0.37,,
soumettre,-0.4,0.18,1,1,,,,,,,,,0.40,,,,,,,0.18,,
soumis,-0.77,,2,-,0.83,,,,,,,,0.70,,,,,,,,,
soumission,-0.57,0.39,1,1,0.57,,,,,,,,,,,,,,0.39,,,
soupape,0.15,0.62,1,1,,,,,,,,0.15,,,,,,,0.62,,,
soupçon,-0.42,0.33,4,1,0.55,,,,,,,0.23,,0.42,,,0.48,,,0.33,,
soupçonneux,-0.67,0.29,1,1,,,,,,,,,0.67,,,,,,0.29,,,
soupe,0.16,0.60,2,1,,0.12,,,,,,0.20,,,,,,,,0.60,,
souper,0.56,,2,-,,,,,0.82,,,,0.30,,,,,,,,,
soupir,-0.08,0.37,1,2,0.08,,,,,,,,,,,,,,0.37,0.37,,
soupirer,-0.32,0.37,2,1,,,,,,,,0.37,0.27,,,,,,,0.37,,
souple,0.17,,1,-,,,,,,,,,0.17,,,,,,,,,
souplesse,0.39,,1,-,,0.39,,,,,,,,,,,,,,,,
source,0.80,0.33,1,1,0.80,,,,,,,,,,,,,,,0.33,,
sourd,-0.65,,2,-,0.60,,,,,,,,0.70,,,,,,,,,
sourd-muet,-0.07,0.65,1,1,0.07,,,,,,,,,,,,,,,0.65,,
souriant,0.74,0.54,2,2,,,,,,,,,0.70,,,,0.78,,0.34,0.75,,
sourire,0.86,0.52,4,1,0.94,,,,0.99,,,0.76,0.73,,0.00,,,,,0.52,0.10,
souris,-0.1,,5,-,,0.02,0.15,,0.20,0.10,,,0.37,,,,,,,,,
sournois,-0.75,,1,-,0.75,,,,,,,,,,,,,,,,,
sous-sol,-0.2,,1,-,,,,,0.20,,,,,,,,,,,,,
sous-titres,0.02,,1,-,0.02,,,,,,,,,,,,,,,,,
soutane,-0.31,0.43,1,2,,,,,,0.31,,,,,,,,,0.26,0.60,,
soutenir,0.15,,2,-,,,,,,,,0.29,,,,,,,,,,
soutien-gorge,0.42,0.48,1,1,,,,,0.42,,,,,,,,,,,0.48,,
souvenir,0.41,,4,-,0.55,0.59,,,,0.18,,,0.33,,,,,,,,,
souverain,0.30,,1,-,,,,,0.30,,,,,,,,,,,,,
souveraineté,0.53,0.32,1,1,0.53,,,,,,,,,,,,,,,0.32,,
soyeux,0.56,0.37,2,1,0.76,,,,,,,,0.37,,,,,,,0.37,,
spacieux,0.63,,2,-,0.70,,,,,,,,0.57,,,,,,,,,
spaghetti,0.49,,1,-,,,0.49,,,,,,,,,,,,,,,
sparadrap,-0.2,0.57,1,1,,,-,0.20,,,,,,,,,,,,0.57,,
spasme,-0.4,,1,-,,,,,,,,,0.40,,,,,,,,,
spatule,0.02,,1,-,,,0.02,,,,,,,,,,,,,,,
speaker,0.20,0.52,1,1,,,,,0.20,,,,,,,,,,,0.52,,
spécial,0.30,0.82,1,1,,,,,,,,,0.30,,,,,,,0.82,,
spectacle,0.64,0.73,3,1,0.70,,,,0.75,,,,0.47,,,,,,,0.73,,
spectaculaire,0.33,,1,-,,,,,,,,,0.33,,,,,,,,,
spectre,-0.37,0.37,1,3,,,,,0.37,,,,,,,,,0.36,,0.27,,0.47
sphère,0.04,,3,-,,,,,,,0.08,,0.13,,,0.17,,,,,,
sphinx,0.36,0.23,1,1,,,0.36,,,,,,,,,,,,,0.23,,
spleen,-0.07,0.65,1,1,,,,,,,,,0.07,,,,,,,0.65,,
spontané,0.30,0.70,1,1,,,,,,,,,0.30,,,,,,,0.70,,
spontanéité,0.44,0.57,2,1,0.48,,,,,,,,0.40,,,,,,0.57,,,
spontanément,0.47,0.73,1,2,,,,,,,,0.47,,,,,,,0.51,0.95,,
sport,0.57,,4,-,0.63,,,,0.54,,,0.56,0.57,,,,,,,,,
spot,-0.04,,1,-,,,,,0.04,,,,,,,,,,,,,
spray,-0.07,,1,-,,,,,0.07,,,,,,,,,,,,,
squelette,-0.38,,1,-,,,-,0.38,,,,,,,,,,,,,,
stabilité,0.51,0.28,2,1,0.53,0.49,,,,,,,,,,,,,,0.28,,
stable,0.23,,1,-,,,,,,,,,0.23,,,,,,,,,
stade,0.04,0.72,1,1,,,,,0.04,,,,,,,,,,,0.72,,
stage,0.07,0.37,1,1,,,,,,,,,0.07,,,,,0.37,,,,
stagnant,-0.21,0.51,1,1,,,,,,,0.21,,,,,,,,,,,0.51
stagné,-0.41,0.35,1,1,,,,,,,,,,,,0.41,,,,0.35,,
statistique,-0.47,0.22,1,4,,,,,,,,,0.47,,,,,0.31,,0.05,,0.44
statue,0.02,0.42,5,1,,,0.14,,,,0.04,,0.27,,,0.18,,,0.42,,,
stéréo,0.30,0.35,1,1,,,,,,,,0.30,,,,,,,0.35,,,
stérile,-0.39,0.25,2,1,0.65,,,,,,,0.13,,,,,,,,0.25,,
stérilité,-0.8,,1,-,,,,,,,,,0.80,,,,,,,,,
stéthoscope,-0.09,0.35,1,1,,,-,0.09,,,,,,,,,,,,0.35,,
stigmatiser,-0.47,0.70,1,1,,,,,,,,,0.47,,,,,,,0.70,,
stimulation,0.27,,1,-,,,,,,,,,0.27,,,,,,,,,
st-laurent,0.29,0.08,1,1,,,,,,0.29,,,,,,,,,,0.08,,
stock,-0.17,0.37,1,1,,,,,,,,,0.17,,,,,,,0.37,,
stoïque,-0.17,0.13,1,1,,,,,,,,,0.17,,,,,,,0.13,,
stop,-0.4,0.67,1,2,,,,,,,,,0.40,,,,,,,0.53,,0.81
stress,-0.55,0.25,3,1,0.33,,,,,,,,0.73,,,0.59,,,,0.25,,
strict,-0.7,0.62,1,1,,,,,,,,,0.70,,,,,,0.62,,,
strictement,-0.4,,1,-,,,,,,,,0.40,,,,,,,,,,
strident,-0.61,,1,-,,,,,,0.61,,,,,,,,,,,,
structuralisme,-0.03,,1,-,0.03,,,,,,,,,,,,,,,,,
stupéfaction,0.26,0.47,1,1,,,,,,,,,,,,,0.26,,,0.47,,
stupéfait,-0.6,0.47,1,1,,,,,,,,,0.60,,,,,,,0.47,,
stupeur,-0.32,0.47,2,1,,,,,,,,,0.67,,,,0.02,0.47,,,,
stupide,-0.73,,2,-,0.79,,,,,,0.67,,,,,,,,,,,
stylo,0.30,0.17,2,1,,0.16,0.44,,,,,,,,,,,,,0.17,,
subir,-0.7,0.30,1,1,,,,,,,,,0.70,,,,,,,0.30,,
subjectivité,-0.3,0.43,1,1,,,,,,,,,0.30,,,,,,,0.43,,
subjuguer,-0.03,0.43,1,1,,,,,,,,,0.03,,,,,,,0.43,,
sublime,0.50,0.25,1,1,,,,,,,,,0.50,,,,,,,0.25,,
subordonné,-0.47,,1,-,,,,,,,,,0.47,,,,,,,,,
subsister,-0.03,0.37,1,1,0.03,,,,,,,,,,,,,,,0.37,,
subtil,0.40,0.70,2,3,0.50,,,,,,,,0.30,,,,,0.64,,0.72,,0.76
succès,0.77,0.36,4,1,0.94,,,,,,0.82,,0.60,,,0.71,,,0.36,,,
successeur,-0.06,0.45,1,1,,,,,,,,0.06,,,,,,,,0.45,,
succession,0.03,0.48,1,2,,,,,,,,,0.03,,,,,,0.35,0.62,,
sucer,0.22,0.40,2,1,,,,,,,,0.20,0.23,,,,,,0.40,,,
sucette,0.38,0.48,1,3,,,,,,,,0.38,,,,,,0.58,,0.25,,0.62
sucre,0.39,,7,-,0.32,0.20,,,0.46,0.60,0.44,,0.20,,,0.48,,,,,,
sucré,0.46,,1,-,0.46,,,,,,,,,,,,,,,,,
sucrerie,0.53,0.53,1,1,0.53,,,,,,,,,,,,,,,0.53,,
suée,-0.47,,1,-,,,,,,,,,0.47,,,,,,,,,
suer,0.45,,1,-,0.45,,,,,,,,,,,,,,,,,
sueur,-0.36,0.22,2,1,0.34,0.39,,,,,,,,,,,,,,0.22,,
suffire,-0.23,0.48,1,1,,,,,,,,,0.23,,,,,,,0.48,,
suffoquer,-0.8,0.45,1,1,,,,,,,,,0.80,,,,,,,0.45,,
suggérer,-0.03,0.65,1,4,,,,,,,,,0.03,,,,,0.59,,0.57,0.70,0.76
suicide,-0.78,0.57,5,1,0.87,,,,,,0.94,,0.93,,0.43,0.72,,,,0.57,,
suicider (se),-0.87,0.53,1,1,,,,,,,,,0.87,,,,,,,0.53,,
suivre,-0.18,0.31,2,1,0.09,,,,,,,,0.27,,,,,,0.31,,,
sujet,0.05,,1,-,,,,,,,,0.05,,,,,,,,,,
sultan,-0.02,,1,-,,,,,0.02,,,,,,,,,,,,,
sumo,-0.08,0.59,1,1,,,-,0.08,,,,,,,,,,,0.59,,,
super,0.83,0.38,1,1,,,,,,,,0.83,,,,,,,,0.38,,
superbe,0.63,,1,-,,,,,,,,,0.63,,,,,,,,,
supercherie,-0.36,0.18,1,1,,0.36,,,,,,,,,,,,,,0.18,,
superficiel,-0.61,0.37,2,1,0.83,,,,,,,,0.40,,,,,,,0.37,,
supérieur,-0.07,,1,-,,,,,,,,,0.07,,,,,,,,,
supériorité,-0.68,0.30,1,1,0.68,,,,,,,,,,,,,,,0.30,,
superstitieux,-0.46,0.63,2,2,0.52,,,,,,,,0.40,,,,,,0.78,0.48,,
supplice,-0.88,0.57,2,1,,,,,,,,0.90,0.87,,,,,,,0.57,,
supporter,-0.1,0.58,1,1,,,,,,,,,0.10,,,,,,,0.58,,
supporters,0.03,0.34,1,2,,,,,,,,,0.03,,,,,,0.32,0.37,,
supposer,-0.12,,2,-,,,,,,,,0.03,0.20,,,,,,,,,
sûr,0.02,0.27,1,1,,,,,,0.02,,,,,,,,,,0.27,,
sûr (aigre),-0.47,0.32,1,1,,,,,,,,,0.47,,,,,,,0.32,,
sûr (certain),0.37,0.30,1,1,,,,,,,,,0.37,,,,,,,0.30,,
surdité,-0.87,,1,-,,,,,,,,,0.87,,,,,,,,,
sure,0.02,,1,-,,,,,,0.02,,,,,,,,,,,,
sûre,0.52,0.80,1,1,,0.52,,,,,,,,,,,,,,0.80,,
surexcité,0.03,0.45,1,1,,,,,,,,,0.03,,,,,,0.45,,,
surmonter,0.32,0.80,1,1,,,,,,,,0.32,,,,,,,,0.80,,
surpasser (se),0.37,0.55,1,1,,,,,,,,,0.37,,,,,,,0.55,,
surprenant,0.10,0.67,1,1,,,,,,,,,0.10,,,,,,,0.67,,
surprendre,0.03,0.61,1,2,,,,,,,,,0.03,,,,,,,0.47,,0.76
surpris,0.20,0.63,2,1,,,,,,,,,,,,0.40,,,,0.63,,
surprise,0.52,0.63,5,1,0.44,,,,0.50,,,,0.50,0.57,,,0.59,,,0.63,,
sursauter,-0.3,,1,-,,,,,,,,,0.30,,,,,,,,,
survivre,0.33,0.42,1,1,0.33,,,,,,,,,,,,,,,0.42,,
susceptible,-0.57,0.53,1,1,,,,,,,,,0.57,,,,,,,0.53,,
susciter,-0.1,0.72,1,1,,,,,,,,,0.10,,,,,,,,,0.72
suspect,-0.32,,1,-,,,,,,,,,,,,0.32,,,,,,
suspicion,-0.44,0.18,1,1,,,,,,,,,,,,,0.44,,0.18,,,
syllabe,0.05,,1,-,,,,,,,,0.05,,,,,,,,,,
syllabus,0.06,0.28,1,1,,,,,0.06,,,,,,,,,,,0.28,,
symbole,-0.2,0.28,1,1,,,,,,,,,0.20,,,,,,,0.28,,
symbolique,-0.27,0.65,1,1,,,,,,,,,0.27,,,,,,,0.65,,
sympathie,0.76,0.71,3,2,,,,,,,,,0.73,0.76,,,0.79,,,0.68,,0.74
sympathique,0.78,0.80,2,1,,,,,,,,,0.80,,,0.77,,,,0.80,,
sympathiser,0.83,0.45,1,2,,,,,,,,,0.83,,,,,,0.31,0.60,,
symphonie,0.33,0.58,3,1,0.50,,,,,,,0.37,0.13,,,,,,0.58,,,
symptôme,-0.53,,2,-,0.65,,,,,,,0.40,,,,,,,,,,
synagogue,-0.23,,1,-,0.23,,,,,,,,,,,,,,,,,
syndicalisme,-0.18,,1,-,0.18,,,,,,,,,,,,,,,,,
syndicat,0.23,0.40,1,1,0.23,,,,,,,,,,,,,,,0.40,,
syndrome,-0.5,0.32,1,1,,,,,,,,,0.50,,,,,,,0.32,,
synthèse,-0.03,0.58,1,2,,,,,,,,,0.03,,,,,0.59,,,,0.58
syphilis,-0.8,0.49,3,3,0.93,,,,,,0.83,,,,,0.64,,0.48,0.43,,,0.56
tabac,-0.24,,6,-,0.53,,,,0.21,0.08,0.43,0.10,,,,0.29,,,,,,
tabagie,-0.32,,1,-,0.32,,,,,,,,,,,,,,,,,
tabasser,-0.85,,1,-,0.85,,,,,,,,,,,,,,,,,
tabernacle,-0.39,0.25,1,4,0.39,,,,,,,,,,,,,0.24,0.19,,0.08,0.47
table,0.22,,9,-,0.47,0.11,0.42,,0.49,0.18,0.05,0.17,,,0.04,0.07,,,,,,
table à repasser,-0.17,,1,-,,,-,0.17,,,,,,,,,,,,,,
tableau,0.49,,3,-,0.27,,0.47,,0.72,,,,,,,,,,,,,
tablier,0.18,0.63,1,1,0.18,,,,,,,,,,,,,,0.63,,,
tabou,-0.33,0.24,2,1,0.23,,,,,,,0.43,,,,,,,0.24,,,
tabouret,0.07,,4,-,0.01,0.05,0.20,,,,,0.05,,,,,,,,,,
tache,-0.45,0.48,2,2,0.46,,,,0.44,,,,,,,,,,0.44,0.52,,
tâche,-0.12,,3,-,0.09,,,,,,,0.14,0.40,,,,,,,,,
tacher,-0.52,,1,-,0.52,,,,,,,,,,,,,,,,,
tacheté,-0.08,,1,-,0.08,,,,,,,,,,,,,,,,,
taciturne,-0.39,,2,-,0.35,,,,,,,,,,,,0.43,,,,,
tacot,-0.37,0.63,1,1,0.37,,,,,,,,,,,,,,,0.63,,
tact,0.44,0.43,2,1,0.55,,,,,,,,0.33,,,,,,0.43,,,
tactique,0.17,,1,-,,,,,,,,0.17,,,,,,,,,,
taïchi,0.52,,1,-,0.52,,,,,,,,,,,,,,,,,
taille,0.09,,1,-,0.09,,,,,,,,,,,,,,,,,
taire,-0.01,,1,-,0.01,,,,,,,,,,,,,,,,,
talc,0.19,0.60,1,3,0.19,,,,,,,,,,,,,0.66,0.50,,,0.65
talent,0.70,,4,-,0.84,,,,,,0.64,0.68,,,,0.65,,,,,,
talentueux,0.88,0.25,1,1,0.88,,,,,,,,,,,,,,0.25,,,
taler,0.35,,1,-,,,,,,,,0.35,,,,,,,,,,
talisman,0.33,,1,-,0.33,,,,,,,,,,,,,,,,,
taloche,-0.61,0.28,1,1,0.61,,,,,,,,,,,,,,0.28,,,
talon,0.01,0.57,3,2,0.11,,0.08,,,,,0.07,,,,,,,0.56,0.58,,
tambour,0.08,,5,-,0.22,0.13,0.17,,,,,0.09,0.20,,,,,,,,,
tambourin,0.30,0.32,1,1,,,0.30,,,,,,,,,,,,,0.32,,
tamisé,-0.1,,1,-,,,,,,,,,0.10,,,,,,,,,
tampax,-0.41,,1,-,0.41,,,,,,,,,,,,,,,,,
tampon,-0.13,0.31,2,1,0.35,,0.09,,,,,,,,,,,,0.31,,,
tampon hygiénique,-0.23,,1,-,,,,,,,,0.23,,,,,,,,,,
tam-tam,0.32,0.50,2,1,0.20,,0.44,,,,,,,,,,,,0.50,,,
tandem,0.44,,2,-,0.55,,,,,,,0.33,,,,,,,,,,
tango,0.23,,1,-,0.23,,,,,,,,,,,,,,,,,
tank,-0.43,,2,-,0.46,,-,0.41,,,,,,,,,,,,,,
tannant,-0.19,,1,-,0.19,,,,,,,,,,,,,,,,,
tanné,-0.65,0.28,1,1,0.65,,,,,,,,,,,,,,,0.28,,
tant mieux,0.30,0.20,1,1,,,,,,,,,0.30,,,,,,,0.20,,
tant pis,-0.53,0.22,1,1,,,,,,,,,0.53,,,,,,0.22,,,
tante,0.32,,2,-,0.38,,,,,,,0.27,,,,,,,,,,
taoïsme,-0.11,,1,-,0.11,,,,,,,,,,,,,,,,,
taon,-0.55,,1,-,0.55,,,,,,,,,,,,,,,,,
tapage,-0.54,0.70,1,1,0.54,,,,,,,,,,,,,,,0.70,,
tapageur,-0.55,,2,-,,,,,,0.64,,,0.47,,,,,,,,,
tape,-0.62,,1,-,0.62,,,,,,,,,,,,,,,,,
tape-à-l'œil,-0.25,,1,-,0.25,,,,,,,,,,,,,,,,,
tapette,-0.52,,1,-,0.52,,,,,,,,,,,,,,,,,
tapioca,0.25,0.13,1,1,0.25,,,,,,,,,,,,,,,0.13,,
tapis,0.28,,6,-,0.01,0.07,0.44,,0.64,0.53,,,0.03,,,,,,,,,
tapisserie,0.21,,1,-,0.21,,,,,,,,,,,,,,,,,
taquin,0.30,,1,-,0.30,,,,,,,,,,,,,,,,,
taquine,0.50,0.58,1,3,0.50,,,,,,,,,,,,,0.61,0.46,0.68,,
taquiner,0.21,,4,-,0.48,,,,,,0.04,0.20,0.20,,,,,,,,,
taquinerie,0.64,,1,-,0.64,,,,,,,,,,,,,,,,,
tard,0.03,,1,-,0.03,,,,,,,,,,,,,,,,,
tardif,-0.41,,1,-,0.41,,,,,,,,,,,,,,,,,
tarentule,-0.57,0.36,1,1,0.57,,,,,,,,,,,,,,0.36,,,
tarif,-0.27,,2,-,0.34,,,,,,,0.20,,,,,,,,,,
tarot,-0.08,,1,-,0.08,,,,,,,,,,,,,,,,,
tartan,-0.2,,1,-,0.20,,,,,,,,,,,,,,,,,
