word_english,aoa_M,RT_M,aoa_SD,RT_SD
bequeath,6.33,1439,0.80,908
beret,5.36,6335,1.78,24723
berserk,5.79,1608,1.47,1174
beseech,6.15,1829,0.90,2378
beside,4.33,1561,1.37,898
bestow,5.88,1630,1.08,1140
betray,5.00,1648,1.17,769
better,3.48,2068,1.04,2206
between,3.61,2638,0.99,3969
beware,4.12,2119,1.02,1892
beyond,4.45,1963,1.21,1501
bias,5.94,1558,1.01,1114
bible,3.55,2292,1.29,1531
bigot,5.94,1697,1.16,1040
bimbo,5.61,1572,1.26,606
bingo,3.67,1540,1.07,860
birthday,2.30,2467,0.87,2049
biscuit,3.76,2167,1.01,2213
bistro,5.76,1795,1.22,1887
bitter,4.73,1886,1.31,1141
bizarre,5.15,2717,1.40,3221
bladder,4.45,2957,1.27,6908
blanket,2.91,1778,1.41,949
blatant,6.09,1647,1.02,1431
blazer,5.24,2941,1.27,4160
blemish,5.52,1670,1.09,993
blister,4.55,2114,1.26,1459
blizzard,4.12,2638,1.32,5704
blockade,5.79,2035,1.18,2572
blossom,4.45,1580,1.41,832
blubber,5.12,1903,1.30,956
boa,5.00,2057,1.69,1533
body,3.45,1571,1.39,828
bogus,5.18,1624,1.10,1175
bona,6.21,2108,0.98,2558
bondage,5.94,1811,1.07,1293
bonfire,4.55,1519,1.00,492
bonnet,4.91,1897,1.32,1138
bonsai,6.33,1650,0.95,1209
bonus,4.58,2335,1.05,1866
boogie,4.18,2442,1.15,2252
bookie,5.58,2425,1.34,3074
border,4.36,2542,1.16,2871
boring,3.48,1689,1.10,1231
borough,5.82,1582,1.08,1071
borrow,4.15,2019,1.14,1784
bosom,5.67,1742,1.17,1068
bother,4.03,2224,1.61,1553
bottle,2.88,1945,1.36,1200
bottom,3.21,2609,1.09,3952
boulder,4.67,1873,1.51,977
bounty,5.39,1339,1.13,592
bouquet,5.03,1955,1.26,1284
bourbon,6.45,1782,0.65,1149
boutique,5.33,2417,1.14,2124
bowel,5.33,2130,1.52,1913
boxer,4.39,1968,1.16,1289
boycott,5.36,1636,1.08,644
bozo,4.97,1754,1.56,1042
bracelet,3.33,1873,0.84,1975
bracket,5.03,2449,1.18,2110
brandy,5.85,2612,1.28,3380
brassiere,6.30,1701,0.95,870
breakfast,2.58,2026,1.26,1117
brigade,5.91,1573,0.96,1105
brisket,5.73,2197,1.12,2339
brittle,5.18,1704,1.26,667
brochure,5.12,1804,1.22,1376
broker,5.73,2117,1.17,2416
brothel,6.06,1808,0.98,2552
brother,2.61,2167,1.45,1938
brunette,4.42,1717,1.24,1014
brutal,5.12,2515,0.96,2701
bubble,3.06,1840,1.17,1065
bucket,3.24,1951,1.12,996
buckle,4.12,3133,1.22,3908
buddy,3.21,2123,1.15,1533
budget,5.30,2130,1.14,1677
buffer,5.27,1940,1.29,1649
buffet,4.24,1943,1.07,2300
buffoon,5.82,1732,0.98,976
buggy,4.73,2637,1.54,3251
bugle,5.52,2102,1.12,1881
building,3.61,2151,0.96,1472
bullet,4.27,2267,1.16,1782
bully,4.12,2405,1.08,1862
bummer,4.21,2340,1.18,1719
bundle,4.55,2169,1.06,2412
bungee,5.06,1908,1.16,1506
bunion,5.94,1638,1.07,1367
bunker,5.61,1656,1.13,1086
buoy,5.58,1782,1.34,1912
burden,5.48,1964,1.18,1714
bureau,5.91,1632,1.09,865
burger,3.21,1848,1.15,1324
burglar,4.42,1872,1.29,1464
burlesque,6.36,2147,0.91,3038
burro,5.64,1771,1.18,1430
burrow,4.97,2072,1.16,1542
bushel,5.79,1490,1.15,866
business,4.67,2098,1.15,1382
bustle,5.70,2050,1.18,2292
busy,3.30,1945,1.10,1415
butcher,4.82,1560,1.15,728
