word_english,aoa_M,RT_M,aoa_SD,RT_SD
savor,5.12,1939,1.20,1545
savvy,5.76,1662,1.01,973
saying,3.70,2492,1.00,2957
scalpel,5.79,1687,1.03,868
scandal,5.55,2155,1.08,1649
scatter,4.67,1738,1.28,1345
scenic,5.36,1837,0.98,1802
scepter,5.88,2592,1.24,5422
scholar,5.45,1827,1.26,1121
schooner,6.18,1494,1.21,636
science,3.85,2286,0.82,1301
scissors,3.21,1862,1.03,1000
scoundrel,5.61,1536,1.26,797
scrawny,5.00,1762,1.27,1166
scribble,3.48,2205,1.36,2232
scrimmage,4.76,1595,0.96,855
scrotum,6.24,1669,1.01,865
scruffy,5.03,2081,1.33,1964
scrumptious,5.27,2578,1.39,1975
scruples,6.03,1723,1.10,1606
scuba,4.27,2058,1.13,1888
sculpture,4.73,2475,1.21,5278
scurry,5.15,2160,1.26,1291
scurvy,5.85,2107,1.06,1622
scuttle,5.58,1645,1.32,1103
season,3.88,1692,1.08,1387
second,3.06,2720,1.17,2552
secret,3.33,1934,0.72,1206
section,4.79,1678,0.88,1078
sector,5.88,1802,1.08,2048
secure,5.00,2170,1.11,2427
sedan,5.76,1690,1.11,1172
sedate,5.67,1453,1.30,756
segment,5.36,2083,1.19,1467
seismic,6.03,1349,1.01,624
seizure,5.45,2043,0.94,1598
seldom,5.48,1431,1.07,649
select,4.30,2117,1.05,1939
selfish,4.27,2201,0.91,2203
seltzer,5.97,1408,1.25,805
senate,5.64,2056,1.15,1945
senile,5.91,1442,1.17,615
sensor,5.18,2312,1.36,1673
sentence,3.64,1761,0.88,964
sentry,5.94,1954,1.21,1518
septic,6.00,2648,1.06,3990
sequel,5.09,3116,1.24,5597
sequence,5.18,2300,1.04,3132
serene,5.76,1649,1.22,1315
sergeant,5.15,1835,1.49,1332
series,4.76,2194,0.93,1460
sermon,4.85,3303,1.61,5054
serpent,5.27,2175,1.68,2350
servant,4.79,2156,1.27,2507
service,4.55,1911,1.00,1810
session,4.94,2429,1.15,2213
settle,4.58,1882,1.05,1316
seven,2.61,3312,1.26,4502
severe,4.82,2013,1.06,2455
sewage,5.24,2084,1.27,2848
sewer,4.39,2031,0.98,2257
shabby,5.12,1787,0.96,892
shadow,3.52,2075,1.01,1533
shallow,4.27,1988,1.52,1213
shaman,6.12,1759,1.12,1447
shampoo,3.06,1542,0.92,611
shatter,4.79,2092,1.22,1694
shelter,4.39,1913,1.24,1785
sherbet,4.06,1789,1.35,1080
sheriff,4.03,2009,0.95,1405
shilling,5.88,2010,1.16,1638
shimmer,4.85,1555,1.37,782
shiner,5.42,2811,1.16,2575
shingle,5.33,1988,1.39,1760
shipment,5.18,1952,1.18,1301
shiver,4.18,2199,1.18,1991
shoddy,5.88,1708,1.29,1335
shogun,5.85,2246,1.28,2040
shortage,5.03,1990,1.18,1490
shoulder,3.21,2715,1.12,2321
shovel,3.67,1947,0.91,1954
shower,3.21,2102,1.26,1401
shrapnel,6.12,1695,0.97,1034
shudder,5.15,2050,1.26,1882
shutter,5.15,2491,1.06,4471
shuttle,5.06,2295,1.26,3388
sibling,4.00,1897,1.52,1695
sickle,5.48,2556,1.26,4093
siding,5.00,2532,1.25,1921
signal,4.52,1703,1.18,1212
silent,3.39,2008,1.34,1163
silly,3.00,2203,0.93,2427
silo,5.52,2153,1.38,1843
silver,4.03,1838,1.22,1224
simmer,5.18,1948,1.49,1355
simple,3.91,2115,1.23,1468
simply,3.97,2242,0.93,1754
sincere,5.24,2132,1.01,2292
single,4.21,2167,1.12,1452
sinus,5.18,1933,1.12,963
siren,4.15,1949,1.28,1129
sirloin,5.33,2319,1.05,3133
sister,2.42,2219,1.11,1045
sizzle,4.64,1782,1.10,1175
skillet,4.67,1385,1.33,898
skinny,3.58,1952,1.06,1421
skirmish,5.58,2080,1.34,1668
skittish,5.55,1857,1.17,1311
slander,5.85,1252,1.00,635
slaughter,5.36,2013,1.08,1768
slogan,5.61,1567,1.13,1020
slumber,4.48,1917,1.41,1162
smitten,5.45,1719,1.21,1065
smother,5.06,2342,1.21,1854
smuggle,5.33,1583,1.14,722
snafu,6.27,1728,1.02,1466
snooty,5.09,1836,1.27,1304
snorkel,4.61,2415,1.24,3722
snuggle,3.73,2002,1.61,2072
sober,5.79,2253,1.03,1739
soccer,3.15,1548,0.72,728
social,4.79,3784,0.98,8384
socket,4.88,2386,1.36,2184
soda,3.21,2048,1.12,1328
sofa,3.79,1543,1.23,856
soiree,6.24,2106,0.98,2352
solace,5.73,1606,1.20,1410
solar,5.03,2371,1.15,4680
soldier,4.03,1949,1.22,1708
solemn,5.85,2140,1.18,2999
solid,3.88,1907,0.98,2070
solo,4.61,1991,1.16,1708
solvent,5.97,1875,1.14,1895
someone,3.61,2689,1.05,3621
something,3.45,1697,0.84,1217
somewhere,4.00,2183,1.24,2660
sonar,5.70,2036,1.21,3287
sonic,4.76,1774,1.49,1070
sonnet,5.73,1768,1.03,948
sordid,6.09,1575,1.17,1298
sorrow,4.94,2432,1.15,4686
sorry,2.76,1865,1.11,854
sovereign,6.21,1765,0.80,2194
spandex,5.33,1886,1.14,1774
spaniel,5.70,2015,1.39,1864
sparkle,3.48,1809,1.29,1504
sparrow,4.61,1550,1.30,811
spasm,5.42,1884,1.07,1093
spastic,5.97,2130,1.05,2778
spatter,5.06,1928,1.29,1345
special,3.58,1640,1.23,748
species,4.88,1791,1.03,1245
spectral,5.94,1877,0.94,1185
spectrum,5.79,1847,1.09,1295
spider,2.91,2173,0.92,2245
spiffy,5.12,1997,1.17,1751
spinach,3.97,1779,1.35,1156
spinster,5.97,1759,1.14,1817
spiral,4.48,1901,1.01,2171
spirit,4.45,2018,1.21,1613
splatter,4.48,1817,1.18,1250
splendid,5.09,1659,1.34,1049
splendor,5.55,3610,1.44,10947
sprinkle,3.85,1737,1.15,1148
squadron,6.09,1998,1.11,2215
squander,6.12,1291,1.03,572
squeamish,5.33,1645,1.37,750
squirrel,3.36,1679,1.39,827
stable,4.48,2116,1.07,1531
stagger,5.36,2052,1.08,3005
stampede,4.67,2179,1.18,1481
standard,4.70,1730,1.17,1253
staple,4.21,1735,1.18,990
stapler,4.21,1905,1.10,1786
stardom,5.45,1602,1.26,1032
stardust,5.18,2037,1.56,1550
starlet,5.67,2210,0.95,1486
startle,4.76,1844,1.25,964
statement,4.79,1752,1.08,1096
static,4.97,1884,1.18,908
station,4.24,2624,1.18,3687
statue,4.24,2135,1.34,1779
stature,5.64,2031,1.23,1692
status,5.12,2008,1.28,1908
statute,5.48,2770,1.52,3273
steady,4.82,2387,1.20,2190
stellar,5.76,1597,1.19,1383
sterile,5.52,2087,1.26,2662
sterling,5.76,1841,0.98,1226
sternum,5.91,1987,1.15,1969
steward,5.73,1643,1.09,999
stickler,5.85,2587,1.00,2412
stigma,5.91,1733,1.06,2155
stingy,5.06,2527,1.41,2329
stockade,5.97,2099,1.05,2440
stomach,3.36,1884,1.32,1455
storage,4.48,1565,0.94,710
story,2.76,2190,1.19,3258
straddle,5.21,1887,1.18,1528
stranger,3.30,1688,1.10,759
strangle,4.76,2845,1.20,3980
stretcher,5.09,2040,1.16,2041
stricken,5.82,1846,0.95,1176
stroller,3.27,1994,1.34,1357
strudel,5.79,1940,1.28,1266
struggle,4.64,1851,1.26,1368
stubborn,4.52,2236,1.36,1792
student,3.64,2144,1.08,2359
study,4.27,2229,1.07,1477
stumble,4.73,1554,1.01,773
stupid,3.24,2266,1.10,1900
sturdy,4.94,1791,1.25,1612
subdue,5.88,1906,1.22,1350
subject,3.97,1800,1.12,965
sublet,5.97,1979,1.11,1269
sublime,5.97,1529,1.02,751
submit,4.88,1843,1.09,1126
subscribe,5.33,1861,1.02,1114
substance,5.00,1659,1.08,1181
subtle,5.64,1490,1.28,918
subtract,3.82,3004,1.08,3965
suburb,4.97,3104,1.18,7865
subway,4.30,2011,1.27,1114
succeed,4.88,1643,1.12,885
success,4.27,1756,0.98,1427
suction,5.39,1679,1.34,1094
sudden,4.39,1709,1.19,1237
suffer,4.85,1463,1.05,878
suffice,6.06,1625,1.11,1434
sugar,3.15,2098,0.98,2415
suggest,4.64,2201,1.01,2208
suitor,5.70,2285,1.13,3465
sulfur,5.88,1771,0.98,1342
sully,6.06,1787,1.05,1055
sulphur,6.03,1571,1.13,956
sultan,5.52,1781,1.55,1473
summer,3.12,1661,1.10,741
summit,5.48,2176,1.04,1840
summon,5.70,2642,1.13,5233
summons,5.70,1950,1.16,2166
sundae,3.70,1681,1.15,926
sunny,3.00,1660,1.09,1017
super,3.58,2767,1.09,4675
superb,5.45,2393,1.21,2212
supper,3.42,3089,1.22,4157
supple,5.79,2163,1.18,1905
supply,4.58,2021,1.08,1695
support,4.39,2206,1.11,1532
suppose,4.55,1800,1.09,1109
suppress,5.79,1671,1.06,1000
supreme,5.09,2369,1.02,2469
surface,4.61,2212,1.08,2506
surgeon,5.00,2362,1.35,1751
surly,5.85,2025,1.18,3321
surplus,5.58,2869,1.02,2825
surprise,3.79,1937,1.23,1983
surreal,6.06,1949,0.84,1221
surround,4.64,1702,1.29,1592
survey,4.73,1666,1.21,1345
survive,4.52,2142,1.10,2136
sushi,5.52,1887,1.15,882
suspect,4.91,1955,1.11,1582
suspend,5.03,3103,1.03,3947
suspense,5.18,1793,1.10,961
sustain,5.52,2104,1.03,2114
suture,5.73,2874,1.25,3195
swallow,3.55,2676,1.31,3085
sweater,3.39,1974,0.84,1211
swindle,6.06,1842,1.02,1609
symbol,4.36,2324,0.88,2669
symptom,4.97,2240,1.07,1622
syndrome,5.48,1844,1.18,1369
syringe,5.58,1954,1.34,1992
syrup,3.45,1624,0.98,788
system,4.58,2215,1.20,2118
table,2.70,1993,0.91,1008
tablet,4.67,2030,1.35,1596
tabloid,5.73,1737,1.12,1063
taboo,5.76,2084,1.01,1861
tackle,4.09,1914,0.94,1624
taco,3.21,1806,0.93,1205
tactic,5.48,2580,1.21,2868
taffy,3.88,2097,1.50,1352
tailor,5.03,2177,1.18,2291
talcum,5.94,1371,1.31,963
talent,4.09,1940,0.97,1468
talon,5.45,1569,1.24,937
tampon,5.82,2300,0.98,1280
tangle,4.27,2137,1.16,2693
tango,4.94,1960,1.23,2202
tantrum,4.00,1836,1.68,1283
tardy,4.61,2215,1.11,2487
target,4.27,1859,0.91,1205
tartar,5.48,1882,1.33,1582
tassel,5.76,1801,1.13,1629
tattoo,4.79,1871,1.11,1277
tavern,5.70,2129,1.18,1782
tawdry,6.15,1935,1.21,2280
taxi,4.24,1568,1.29,718
teacher,2.85,2089,0.88,1153
technique,5.30,1749,1.22,1052
teeming,6.27,1529,0.92,1014
temper,4.27,2915,1.16,2590
tempest,6.00,2455,1.06,2714
temple,4.85,2962,1.16,4568
tempo,5.39,1923,1.05,1567
tenant,5.73,1905,1.20,1644
tender,4.79,1956,1.08,1825
tendon,5.48,1866,1.07,1334
tennis,3.94,2099,1.01,1739
tenor,5.67,1669,1.30,1114
tension,5.36,2010,1.32,1345
tenure,6.15,1583,1.00,884
tepee,4.85,1974,1.57,2058
termite,5.09,1690,1.27,1031
terrace,5.67,1632,1.25,1134
terrain,5.73,1756,1.15,1948
terror,4.36,1572,0.98,777
texture,4.82,1712,1.28,1244
theory,5.15,2067,1.15,2608
therefore,5.06,1952,1.04,1867
thermal,5.15,1998,1.18,1414
thesis,5.91,2103,1.00,1560
thorough,4.82,2078,1.18,1315
thousand,4.21,2577,1.18,2575
threshold,5.88,1737,1.05,1047
throttle,5.27,2236,1.29,2040
thunder,3.15,2556,0.84,1673
thyroid,6.06,1812,0.95,1156
ticket,3.94,1807,1.19,1364
tickle,2.85,1791,1.01,1050
tidy,4.48,1709,1.21,803
tiger,2.67,2055,0.92,1592
timber,4.67,1650,0.97,1108
timid,5.33,1667,1.14,1198
tingle,3.85,2184,1.06,1590
tinker,4.79,1952,1.39,1365
tinkle,3.48,1965,1.50,1009
tiny,3.48,1959,1.52,1513
tipsy,5.73,1830,1.20,849
tissue,3.33,2304,1.13,2146
titan,5.55,1635,0.99,772
title,3.88,1983,1.27,1573
today,3.15,1758,1.19,951
toddler,3.58,2017,1.28,1410
tofu,5.70,1824,1.21,1205
toga,5.27,2156,1.29,1394
toilet,2.52,2020,0.98,1231
token,4.73,1784,1.36,1132
toner,5.39,2306,1.19,1961
tonic,5.76,1737,1.27,1489
tonight,3.36,3057,1.19,5459
tonsils,4.85,2752,1.27,5403
topaz,5.91,1946,1.12,1958
topic,4.48,2090,0.98,1991
topple,5.30,2123,1.32,1292
torment,5.36,1532,1.19,1081
torrid,6.00,1299,1.03,609
torso,5.15,2169,1.47,1967
tortoise,4.52,2873,1.52,4599
torture,5.09,1937,1.14,2137
total,4.12,2423,0.95,1920
totem,5.27,1926,1.39,1956
toupee,5.70,1961,1.39,1389
towel,3.12,2391,1.04,2402
tower,3.88,1873,1.32,999
toxic,4.76,2500,1.35,2268
toxin,5.55,1685,1.08,892
traction,5.45,2658,1.16,2446
tractor,3.52,2532,1.24,2094
traffic,4.21,2395,0.97,2046
tragic,4.97,1591,1.07,1051
trailer,4.58,2310,1.20,2063
traitor,5.09,2144,1.11,2039
trample,5.21,1687,1.34,830
tranquil,5.58,2057,1.14,3709
transfer,5.18,2024,1.10,1244
transit,5.58,2395,1.16,2754
translate,5.39,3014,1.05,4045
transmit,5.48,1965,1.15,1287
transplant,5.55,1608,0.96,1074
transport,4.85,1961,1.16,1386
trapeze,5.15,1819,1.47,1259
trauma,5.30,1882,1.22,1867
travel,3.94,1764,1.16,780
traverse,6.06,1854,1.08,1892
treason,5.82,2043,1.02,1409
treasure,3.73,1706,1.37,1025
treatment,4.76,1959,1.06,1587
treaty,4.91,2162,1.22,1720
tremble,5.00,1882,0.85,1213
tremor,5.79,1810,0.93,1310
trespass,5.30,1513,1.05,946
triad,5.94,2411,1.04,3431
trial,4.76,2042,1.03,1773
tribal,5.33,1574,1.19,1082
tribute,5.61,1717,1.10,1706
trifle,5.79,1741,1.26,1316
trigger,4.88,2264,1.18,1443
trinket,5.18,2464,1.21,4445
trio,4.82,1870,1.26,1019
triple,4.36,2161,1.14,1494
tripod,4.97,5388,1.21,18963
triumph,4.88,1696,1.26,1242
trolley,5.12,1599,1.22,1020
trombone,4.61,2163,1.24,1863
trooper,4.97,2098,1.01,1537
trophy,3.76,2384,0.87,2516
tropic,4.61,2154,1.22,1959
trouble,3.27,1787,1.18,839
trouper,5.73,2031,1.25,1722
trousers,5.24,1834,1.24,1822
trumpet,4.24,2428,1.26,2706
tuba,4.67,2177,1.45,1791
tulip,4.45,1953,1.24,1057
tumble,3.91,2150,1.03,1434
tummy,2.70,1653,1.39,725
tumor,5.36,1893,1.16,1379
tuna,3.48,1802,0.98,914
tunic,5.70,1542,1.26,847
tunnel,4.03,2850,1.48,6020
turban,5.70,2416,1.29,2692
turbine,5.94,2224,1.13,2082
turkey,2.67,2077,0.80,1216
turmoil,5.79,2488,1.00,2892
turnip,4.91,2038,1.46,1291
turtle,2.85,2973,0.88,7646
tutor,4.73,1609,1.07,939
tutu,3.73,2013,1.48,1425
twinkle,3.39,2163,1.52,1799
twister,4.06,1552,1.09,697
tycoon,5.67,1749,1.14,1173
typhoon,5.55,1570,0.96,751
typo,5.30,1946,0.98,885
tyrant,5.67,1670,1.30,1127
ugly,3.21,2096,1.15,1497
ulcer,5.70,2483,1.26,3845
ultra,4.97,1989,1.21,910
uncle,3.15,2642,1.41,3121
uncouth,6.39,1422,0.71,631
union,5.52,2144,1.15,2120
unique,4.85,1736,1.19,1105
unite,5.18,1382,1.07,675
unless,4.58,1986,1.22,1283
until,3.91,1607,1.06,1151
upon,3.97,1659,1.20,1151
upset,3.79,1820,1.44,935
urban,5.21,2106,1.26,1599
urgent,4.97,2724,1.16,3271
usher,5.09,2500,1.32,2621
utmost,6.00,2311,1.18,2975
utter,5.12,1591,1.49,995
vacant,5.21,2209,1.18,1994
vacate,5.67,1777,1.08,1503
vaccine,5.33,2001,1.24,1091
vagrant,6.18,1429,1.13,893
valet,5.70,2094,1.16,1327
valid,5.45,1754,1.10,1182
valley,4.33,3855,1.14,9227
valor,5.79,3763,1.28,9440
vamoose,6.03,1590,1.24,1173
vampire,4.27,1657,1.48,815
vanish,4.94,2134,1.20,1813
vanquish,5.94,2026,1.10,1911
vantage,5.55,1967,1.30,1876
vapor,5.36,1728,1.08,1085
varmint,5.94,1684,1.10,1616
vary,4.79,1888,1.22,2211
vassal,5.79,1914,1.26,1997
vector,5.97,1843,1.14,1623
vegan,5.91,1393,0.96,814
velcro,4.85,2068,1.50,1179
velvet,4.82,1906,1.18,1625
vendor,5.36,2016,1.02,1651
veneer,5.97,1452,1.30,832
venom,4.94,1465,1.33,577
venture,5.39,1843,1.16,1140
venue,5.91,2086,1.00,1472
venus,4.88,2304,1.26,1558
verbal,4.36,1905,1.05,1342
verdict,5.85,1825,1.06,1882
vermin,6.00,1627,1.09,1696
vermouth,6.39,2257,0.84,3840
version,4.97,2038,0.94,1331
versus,4.64,2139,1.26,1414
very,3.15,1616,1.11,836
vessel,5.48,2161,1.10,3738
veto,5.79,1714,1.20,1550
vibrant,5.39,1910,1.16,1996
vibrate,5.03,1759,1.03,858
vicar,6.27,1287,0.98,580
vicious,5.18,2076,1.29,1459
victim,4.70,2450,1.17,4611
vigil,5.85,1746,1.28,1269
villa,5.42,1487,1.10,632
village,4.00,2055,0.94,1023
villain,4.88,1602,1.33,1180
vintage,5.48,1855,1.00,1429
vinyl,5.73,1476,1.15,1068
viper,5.15,1556,1.40,958
virgin,5.97,2454,1.11,1948
virile,6.03,2187,1.31,2713
virtue,5.64,1900,1.18,1815
virus,4.76,1764,1.33,1084
visa,5.58,1713,1.22,999
vision,4.27,1766,1.24,1082
visor,5.24,1905,1.19,1244
vital,5.33,1839,1.16,995
vitro,5.85,2189,1.43,3201
vivid,5.39,2170,1.11,2259
vixen,5.82,2569,1.30,2107
vodka,6.18,1786,0.91,1328
voltage,5.30,2346,0.92,2597
volume,4.06,2407,1.20,2701
vomit,3.94,1878,1.11,1062
voodoo,5.09,1696,1.30,904
vortex,5.82,1357,1.16,932
voucher,5.76,1862,1.05,1297
vowel,4.55,2142,1.47,2152
voyage,4.73,2013,1.04,1841
vulgar,5.61,1755,1.04,1121
vulture,5.00,2492,1.22,2556
wacky,4.18,1663,1.42,1023
waffle,3.15,1846,0.95,1142
wager,5.73,1901,0.96,1770
wagon,3.39,1922,1.14,1374
waiter,3.85,1833,0.97,880
waitress,4.09,1913,1.13,1045
waiver,5.61,2019,1.07,1848
wallet,4.21,1726,1.00,1017
wallop,5.70,1911,1.24,1921
wallow,5.79,2529,1.03,3451
walnut,3.94,2927,1.13,3340
walrus,3.52,2060,1.24,1241
wander,4.91,2234,1.22,2585
wanted,3.67,1794,1.18,1125
wanton,5.79,2651,1.33,3520
warden,5.76,1512,1.22,867
warlock,5.64,2052,1.31,1795
warrant,5.67,2540,1.22,4115
wary,5.79,1627,1.18,1437
water,2.45,2129,1.50,1066
weapon,4.00,1975,1.04,1732
weary,5.12,2386,1.11,5674
weasel,4.45,1865,1.78,1298
weather,3.39,1715,0.88,676
wedding,3.79,1793,1.30,946
wedgie,4.12,2343,1.34,1557
wedlock,6.09,1517,1.08,861
weekend,3.70,2279,1.03,2315
weirdo,4.06,1923,0.97,1220
welcome,3.48,2088,0.98,2422
welfare,5.76,2469,1.16,2581
whammy,5.18,2412,1.33,2222
whereas,5.24,2038,1.29,1514
whether,4.52,2574,1.38,3906
whimper,4.70,1709,1.42,1342
whiskey,5.67,1803,1.27,1004
whisky,5.64,1811,1.12,1030
whisper,3.52,2004,1.18,1330
whistle,3.76,1882,1.07,1215
whoopee,4.48,2128,1.62,2125
whopper,4.70,2108,1.17,1126
wicked,4.48,1901,1.34,1227
widow,5.12,2039,1.20,1714
wiggle,3.24,1900,0.83,982
wily,5.58,1994,1.37,2045
window,3.06,3459,1.05,6666
winter,3.09,2343,1.03,2510
wisdom,4.88,2218,0.93,2066
withdraw,5.12,2327,1.30,2054
wither,5.33,2102,0.95,2312
without,3.94,1948,0.95,1356
witness,4.88,2798,1.23,5107
wizard,3.73,1676,0.95,951
wobble,4.39,2079,1.37,3084
woman,3.24,1937,1.10,1094
wonder,4.39,2220,0.98,1498
wondrous,5.45,1712,1.16,898
woozy,5.12,2937,1.28,6178
worry,3.91,1768,0.82,1493
worship,4.27,1719,1.46,1207
wrestle,3.76,1849,1.04,892
wrinkle,4.36,2972,1.22,6837
yahoo,4.88,3314,1.40,6446
yellow,2.27,2042,0.94,1154
yodel,5.33,1866,1.16,1416
yoga,5.67,2182,1.02,1594
yogurt,3.67,1779,1.01,848
yonder,5.64,1713,1.12,1234
yourself,3.21,2392,1.09,2034
yummy,2.36,2381,1.27,1879
yuppie,5.30,1957,1.65,1453
zebra,3.03,1744,0.94,1265
zephyr,6.06,1648,1.24,1520
zero,2.64,2145,0.89,1059
zipper,3.30,1752,1.36,740
zombie,4.15,1743,1.14,801
