unigram,unigram_freq,phon
говорити,13926,h o β o r ɪ t̪ ɪ
очі,13852,o tʃ iː
слова,13840,s l o β a
будуть,13835,b u d u t
цікаво,13816,t s iː k a β o
наша,13815,n a ʃ a
світі,13790,z β iː t̪ iː
казала,13787,k a z a l a
правильно,13725,p r a β ɪ ʎ n o
знайшли,13718,z n a j ʃ l ɪ
перший,13689,p ɛ r ʃ ɪ j
потрібні,13651,p o t̪ r iː b ɲ iː
могла,13627,m o h l a
маємо,13589,m a j ɛ m o
сподіваюся,13561,s p o d iː β a j u s j a
місці,13560,m iː s t s iː
батька,13492,b a t k a
міс,13489,m iː s
кажуть,13398,k a ʒ u t
жінка,13380,ʒ iː n k a
роботи,13356,r o b o t̪ ɪ
робить,13352,r o b ɪ t
припини,13345,p r ɪ p ɪ n ɪ
п,13328,p ɛ
таким,13266,t̪ a k ɪ m
кінець,13256,k iː n ɛ t s
одно,13227,o d n o
працює,13204,p r a t s j u j ɛ
когось,13176,k o h o s
вперед,13173,f p ɛ r ɛ d
будинок,13165,b u d ɪ n o k
інакше,13040,iː n a k ʃ ɛ
рік,13030,r iː k
ніч,12994,ɲ iː tʃ
чекай,12914,tʃ ɛ k a j
увазі,12889,u β a z iː
занадто,12867,z a n a t t̪ o
проблеми,12844,p r o b l ɛ m ɪ
грошей,12831,h r o ʃ ɛ j
бачили,12775,b a tʃ ɪ l ɪ
сказали,12763,s k a z a l ɪ
прямо,12750,p r j a m o
моєму,12696,m o j ɛ m u
перепрошую,12680,p ɛ r ɪ p r o ʃ u j u
цієї,12657,t s iː j ɛ j iː
зробила,12608,z r o b ɪ l a
роки,12579,r o k ɪ
зрозуміло,12566,z r o z u m iː l o
звати,12556,z β a t̪ ɪ
якось,12543,j a k o s
стати,12515,s t̪ a t̪ ɪ
всього,12503,f sʲ o h o
нарешті,12502,n a r ɛ ʃ t̪ iː
цій,12502,t s iː j
дивно,12466,d ɪ β n o
стільки,12462,s t̪ iː ʎ k ɪ
своїх,12381,z β o j iː x
проблема,12357,p r o b l ɛ m a
знаємо,12306,z n a j ɛ m o
тебя,12297,t̪ ɛ b j a
мушу,12293,m u ʃ u
оце,12286,o t s ɛ
пішли,12276,p iː ʃ l ɪ
алло,12274,a l l o
лайно,12209,l a j n o
мало,12149,m a l o
моєї,12144,m o j ɛ j iː
собою,12141,s o b o j u
інших,12085,iː n ʃ ɪ x
вбити,12040,β b ɪ t̪ ɪ
іноді,11992,iː n o d iː
новий,11990,n o β ɪ j
гарна,11982,h a r n a
его,11976,ɛ h o
усім,11955,u s iː m
порядку,11936,p o r j a t k u
кажи,11908,k a ʒ ɪ
річ,11897,r iː tʃ
машину,11838,m a ʃ ɪ n u
скажеш,11796,s k a ʒ ɛ ʃ
она,11786,o n a
зробили,11768,z r o b ɪ l ɪ
нормально,11763,n o r m a ʎ n o
ідея,11756,iː d ɛ j a
дівчина,11752,d iː f tʃ ɪ n a
пам'ятаєш,11709,p a m j a t̪ a j ɛ ʃ
стій,11636,s t̪ iː j
дім,11605,d iː m
доки,11583,d o k ɪ
план,11508,p l a n
зможу,11396,z m o ʒ u
брат,11384,b r a t̪
рада,11375,r a d a
